iter	MultiClass
0	1.769660295
1	1.635175647
2	1.530263783
3	1.430763012
4	1.354898544
5	1.288078391
6	1.229898607
7	1.172807334
8	1.127173941
9	1.081850261
10	1.041072135
11	1.000719995
12	0.9672189687
13	0.9338959793
14	0.9027804909
15	0.8744888423
16	0.8465294542
17	0.821526311
18	0.7962965137
19	0.7743718331
20	0.7538816445
21	0.733480401
22	0.7160370965
23	0.6984343884
24	0.6809624451
25	0.6664052507
26	0.6516986115
27	0.6367901284
28	0.622978254
29	0.6099232064
30	0.5991631059
31	0.5873188207
32	0.5768052582
33	0.5668975855
34	0.5563107405
35	0.5461271776
36	0.5367990276
37	0.5267555853
38	0.518844965
39	0.5098647024
40	0.5013188802
41	0.4933957308
42	0.4864275675
43	0.4802139805
44	0.4739097697
45	0.4678501777
46	0.4605055019
47	0.4549657401
48	0.4488819043
49	0.4423607939
50	0.4365242513
51	0.4317185561
52	0.4263503749
53	0.421353375
54	0.4160400922
55	0.4113331693
56	0.4082682697
57	0.4039013611
58	0.399710862
59	0.3955165072
60	0.3915069772
61	0.3880175474
62	0.3839416363
63	0.379589802
64	0.3763185409
65	0.3728293234
66	0.369106497
67	0.3664222403
68	0.3627061576
69	0.3603511593
70	0.3569997029
71	0.354253832
72	0.3511973834
73	0.3480385645
74	0.3453450704
75	0.3429792914
76	0.3401636779
77	0.3378640926
78	0.3353738549
79	0.3325662882
80	0.3298030497
81	0.3276831286
82	0.3258626135
83	0.3235533212
84	0.3211450164
85	0.3186547675
86	0.3167134518
87	0.3147060784
88	0.3125674932
89	0.3106887686
90	0.3085528562
91	0.3061013325
92	0.3045701053
93	0.3029388996
94	0.3010793743
95	0.2997280361
96	0.2982756952
97	0.2967324311
98	0.295241557
99	0.2937353665
100	0.2922848924
101	0.2904520449
102	0.2890719192
103	0.2877284078
104	0.2858094089
105	0.2846513413
106	0.2834591735
107	0.2819808049
108	0.2806123937
109	0.2796463974
110	0.2784984118
111	0.2767994353
112	0.2756453975
113	0.2749269385
114	0.273342093
115	0.2723825752
116	0.2709954592
117	0.2699737049
118	0.2686288933
119	0.2673809272
120	0.2660961159
121	0.2648759719
122	0.2637646482
123	0.2627467296
124	0.2614143472
125	0.2605513783
126	0.2595895629
127	0.2584745043
128	0.2577321556
129	0.2569469976
130	0.2558928553
131	0.2550549568
132	0.2544504154
133	0.2537487765
134	0.252848285
135	0.2523231147
136	0.2516372882
137	0.2507509447
138	0.2502219471
139	0.2495936849
140	0.2487407056
141	0.2483125894
142	0.2472135569
143	0.2460077821
144	0.2457138911
145	0.2446892451
146	0.2441710705
147	0.2437232077
148	0.2433631758
149	0.2425463418
150	0.2419228856
151	0.2410640417
152	0.2399303698
153	0.2392879132
154	0.2389487416
155	0.2381564165
156	0.2371175611
157	0.2364213331
158	0.2359704953
159	0.2354778749
160	0.2348137878
161	0.2342869481
162	0.2335250713
163	0.2329501727
164	0.2325074701
165	0.2318779095
166	0.2311503595
167	0.2308056696
168	0.2301356378
169	0.2295040799
170	0.2290876975
171	0.2284137713
172	0.2279027171
173	0.227469625
174	0.2267580624
175	0.2262870717
176	0.2253592764
177	0.2249941177
178	0.2245479807
179	0.2238572481
180	0.2235294613
181	0.2227907562
182	0.2224591392
183	0.2216755702
184	0.2213886277
185	0.220785744
186	0.2202036551
187	0.219948555
188	0.219248973
189	0.2186295775
190	0.2182712476
191	0.2176547425
192	0.2173265727
193	0.2164740761
194	0.2161332396
195	0.2154359735
196	0.2151026505
197	0.2143267691
198	0.214094068
199	0.2138076722
200	0.2133837975
201	0.2129011236
202	0.2125714993
203	0.2122739034
204	0.2116713443
205	0.2113221744
206	0.2110617905
207	0.2104101061
208	0.2102186845
209	0.2097215183
210	0.2092953248
211	0.2090464971
212	0.2084117467
213	0.2080824545
214	0.2075307723
215	0.2072890442
216	0.2066961375
217	0.2061214901
218	0.2055468837
219	0.2052525838
220	0.2050092267
221	0.2044770208
222	0.204028494
223	0.2037544074
224	0.2035865802
225	0.2034215878
226	0.2027113354
227	0.2022325104
228	0.2019046955
229	0.2013710972
230	0.2011585408
231	0.2005600648
232	0.2004004869
233	0.199875502
234	0.1991748847
235	0.1989546101
236	0.1986825195
237	0.1982923626
238	0.197952841
239	0.1975430812
240	0.1972549713
241	0.1968973955
242	0.1964427169
243	0.1959482767
244	0.1957633398
245	0.1954077822
246	0.1950056242
247	0.1948059989
248	0.1943666833
249	0.1941787964
250	0.193978937
251	0.1938099278
252	0.1935743562
253	0.1933473253
254	0.1929128542
255	0.192771362
256	0.1926149635
257	0.1920689659
258	0.1919075884
259	0.1914075874
260	0.1910719476
261	0.190602262
262	0.1903785858
263	0.1901491936
264	0.1898880178
265	0.1895413925
266	0.1892171873
267	0.1890232757
268	0.1887721203
269	0.1885709794
270	0.188350738
271	0.1881676551
272	0.1880101878
273	0.1875792619
274	0.1872602085
275	0.1867056406
276	0.1863948775
277	0.1859468384
278	0.1854610316
279	0.1852700884
280	0.1849342952
281	0.1844819283
282	0.1842997156
283	0.1839117344
284	0.1837325741
285	0.1835667915
286	0.1834119207
287	0.1832490703
288	0.1831298813
289	0.1829832242
290	0.1828639885
291	0.1826762525
292	0.1824403057
293	0.1819864363
294	0.1817146596
295	0.1813714628
296	0.1809667254
297	0.1807453738
298	0.1806298846
299	0.1804293431
300	0.180130515
301	0.1800082698
302	0.1797524612
303	0.1795499514
304	0.1793755857
305	0.179232537
306	0.179088356
307	0.178927144
308	0.1787636764
309	0.1784044983
310	0.1779653061
311	0.1777441895
312	0.1775683147
313	0.17735578
314	0.1770661772
315	0.1767136977
316	0.1763824687
317	0.1760691706
318	0.1759103125
319	0.1756968583
320	0.1755894593
321	0.1753778971
322	0.17503698
323	0.174911086
324	0.174630866
325	0.1744027848
326	0.1742309618
327	0.1740667686
328	0.1738200437
329	0.1736712426
330	0.1733131919
331	0.172988727
332	0.1728562158
333	0.1727133182
334	0.1724200989
335	0.1723031767
336	0.1721722341
337	0.1719529891
338	0.1717791405
339	0.1716074223
340	0.1714520438
341	0.1712075268
342	0.1709830928
343	0.1708116179
344	0.1705699511
345	0.1703970945
346	0.1701581758
347	0.1699828804
348	0.1697955116
349	0.1696406984
350	0.1693238241
351	0.1692285164
352	0.1689853354
353	0.1688383226
354	0.1687393545
355	0.1685611502
356	0.168350384
357	0.1679599044
358	0.1678150913
359	0.1676281924
360	0.1675486321
361	0.1674256568
362	0.1672545113
363	0.1670671945
364	0.1668920547
365	0.1667606823
366	0.1666467391
367	0.166264297
368	0.1660623558
369	0.1658410134
370	0.1656450758
371	0.1653722525
372	0.1651796689
373	0.1650265655
374	0.1649155628
375	0.1647356406
376	0.1645787415
377	0.164483462
378	0.1644026643
379	0.1641922354
380	0.1640079233
381	0.1638176703
382	0.1637107923
383	0.1635323479
384	0.1633262394
385	0.1630636316
386	0.1629578096
387	0.1628354666
388	0.1627099245
389	0.1624522718
390	0.1622781123
391	0.1620785905
392	0.1618851835
393	0.1617353181
394	0.16140381
