iter	Passed	Remaining
0	147	66048
1	302	67744
2	464	69266
3	623	69557
4	788	70158
5	953	70566
6	1116	70657
7	1261	69700
8	1416	69414
9	1579	69477
10	1742	69557
11	1904	69522
12	2073	69705
13	2221	69176
14	2373	68833
15	2537	68818
16	2701	68809
17	2865	68763
18	3034	68845
19	3185	68483
20	3335	68138
21	3499	68088
22	3660	67960
23	3822	67841
24	3991	67852
25	4144	67593
26	4289	67202
27	4450	67082
28	4612	66967
29	4777	66880
30	4942	66802
31	5103	66669
32	5250	66343
33	5400	66082
34	5566	65996
35	5726	65851
36	5887	65715
37	6055	65656
38	6201	65355
39	6350	65097
40	6515	64996
41	6678	64873
42	6838	64725
43	7007	64662
44	7161	64452
45	7306	64167
46	7465	64015
47	7628	63884
48	7789	63743
49	7955	63643
50	8114	63485
51	8262	63242
52	8414	63029
53	8576	62894
54	8738	62761
55	8899	62615
56	9067	62518
57	9216	62292
58	9369	62091
59	9529	61942
60	9695	61830
61	9855	61676
62	10023	61572
63	10174	61367
64	10322	61139
65	10484	60997
66	10650	60883
67	10814	60750
68	10980	60632
69	11134	60442
70	11279	60210
71	11443	60076
72	11604	59930
73	11762	59768
74	11926	59631
75	12093	59514
76	12240	59292
77	12392	59101
78	12554	58960
79	12713	58801
80	12876	58659
81	13046	58549
82	13192	58333
83	13344	58145
84	13508	58005
85	13669	57856
86	13834	57722
87	13999	57590
88	14157	57423
89	14302	57210
90	14463	57059
91	14624	56909
92	14791	56779
93	14958	56652
94	15117	56491
95	15261	56278
96	15424	56132
97	15586	55982
98	15749	55837
99	15910	55688
100	16077	55555
101	16225	55358
102	16381	55189
103	16543	55038
104	16705	54888
105	16870	54749
106	17039	54623
107	17190	54437
108	17341	54250
109	17505	54107
110	17665	53950
111	17828	53805
112	17996	53669
113	18146	53485
114	18294	53293
115	18455	53138
116	18625	53009
117	18788	52861
118	18957	52731
119	19116	52571
120	19260	52368
121	19421	52216
122	19584	52065
123	19744	51908
124	19906	51757
125	20074	51618
126	20219	51425
127	20371	51247
128	20535	51100
129	20699	50952
130	20864	50807
131	21030	50664
132	21181	50485
133	21333	50307
134	21501	50170
135	21667	50027
136	21829	49872
137	21995	49728
138	22145	49549
139	22298	49374
140	22461	49223
141	22622	49069
142	22788	48923
143	22953	48775
144	23111	48613
145	23258	48429
146	23419	48273
147	23585	48126
148	23748	47974
149	23912	47824
150	24076	47673
151	24223	47491
152	24377	47320
153	24540	47169
154	24701	47012
155	24864	46860
156	25030	46713
157	25186	46547
158	25355	46405
159	25517	46250
160	25686	46107
161	25849	45954
162	26020	45814
163	26169	45636
164	26317	45458
165	26480	45303
166	26642	45148
167	26804	44993
168	26978	44858
169	27153	44723
170	27303	44548
171	27466	44392
172	27629	44239
173	27795	44089
174	27967	43948
175	28121	43780
176	28267	43598
177	28429	43442
178	28595	43292
179	28757	43136
180	28924	42987
181	29084	42827
182	29239	42660
183	29393	42493
184	29555	42336
185	29715	42177
186	29877	42019
187	30046	41873
188	30195	41698
189	30349	41530
190	30514	41378
191	30677	41222
192	30842	41069
193	31013	40924
194	31167	40756
195	31324	40593
196	31485	40436
197	31643	40273
198	31807	40119
199	31977	39971
200	32125	39796
201	32274	39624
202	32437	39467
203	32602	39314
204	32762	39154
205	32930	39005
206	33092	38847
207	33240	38673
